date_range_start,date_range_end,region,total_transactions,total_customers,transaction_type
2023-01-01T00:00:00,2023-02-01T00:00:00,PR,27286,18584,"{""card"":2424,""bank"":24862}"
2023-01-01T00:00:00,2023-02-01T00:00:00,ALL_US,196927995,11129486,"{""bank"":179137259,""card"":17790736}"
2023-01-01T00:00:00,2023-02-01T00:00:00,AZ,6323069,414164,"{""bank"":6058067,""card"":265002}"
2023-01-01T00:00:00,2023-02-01T00:00:00,SC,2943740,261759,"{""bank"":2733410,""card"":210330}"
2023-01-01T00:00:00,2023-02-01T00:00:00,OH,19984753,1507245,"{""bank"":17825275,""card"":2159478}"
2023-01-01T00:00:00,2023-02-01T00:00:00,TN,3624464,341089,"{""bank"":3386378,""card"":238086}"
2023-01-01T00:00:00,2023-02-01T00:00:00,LA,737796,128619,"{""bank"":665427,""card"":72369}"
2023-01-01T00:00:00,2023-02-01T00:00:00,IA,2562801,166601,"{""bank"":2324668,""card"":238133}"
2023-01-01T00:00:00,2023-02-01T00:00:00,MN,451323,116338,"{""bank"":359823,""card"":91500}"
2023-01-01T00:00:00,2023-02-01T00:00:00,NM,1069270,99689,"{""bank"":1011061,""card"":58209}"
2023-01-01T00:00:00,2023-02-01T00:00:00,PA,14783461,1056067,"{""bank"":13918461,""card"":865000}"
2023-01-01T00:00:00,2023-02-01T00:00:00,NJ,5100977,477126,"{""bank"":4721881,""card"":379096}"
2023-01-01T00:00:00,2023-02-01T00:00:00,SD,39256,7704,"{""card"":6540,""bank"":32716}"
2023-01-01T00:00:00,2023-02-01T00:00:00,DC,437554,112053,"{""card"":54024,""bank"":383530}"
2023-01-01T00:00:00,2023-02-01T00:00:00,NY,9791676,1069101,"{""bank"":8419922,""card"":1371754}"
2023-01-01T00:00:00,2023-02-01T00:00:00,OR,2231923,226816,"{""bank"":1964313,""card"":267610}"
2023-01-01T00:00:00,2023-02-01T00:00:00,VA,5932103,488856,"{""bank"":5485261,""card"":446842}"
2023-01-01T00:00:00,2023-02-01T00:00:00,RI,80058,18276,"{""bank"":57728,""card"":22330}"
2023-01-01T00:00:00,2023-02-01T00:00:00,KY,6564002,514026,"{""card"":480561,""bank"":6083441}"
2023-01-01T00:00:00,2023-02-01T00:00:00,WY,98889,20590,"{""bank"":84955,""card"":13934}"
2023-01-01T00:00:00,2023-02-01T00:00:00,NH,152454,33416,"{""bank"":117116,""card"":35338}"
2023-01-01T00:00:00,2023-02-01T00:00:00,TX,10172551,751722,"{""card"":608518,""bank"":9564033}"
2023-01-01T00:00:00,2023-02-01T00:00:00,MI,7536053,684311,"{""bank"":6720348,""card"":815705}"
2023-01-01T00:00:00,2023-02-01T00:00:00,WV,1177624,131717,"{""bank"":1128848,""card"":48776}"
2023-01-01T00:00:00,2023-02-01T00:00:00,NV,691001,135034,"{""bank"":578023,""card"":112978}"
2023-01-01T00:00:00,2023-02-01T00:00:00,WI,4004408,337168,"{""bank"":3724140,""card"":280268}"
2023-01-01T00:00:00,2023-02-01T00:00:00,ID,6044618,317275,"{""bank"":5560766,""card"":483852}"
2023-01-01T00:00:00,2023-02-01T00:00:00,CA,7624739,1501664,"{""bank"":6611451,""card"":1013288}"
2023-01-01T00:00:00,2023-02-01T00:00:00,GA,4675800,440454,"{""bank"":4342362,""card"":333438}"
2023-01-01T00:00:00,2023-02-01T00:00:00,CT,861465,119378,"{""bank"":719035,""card"":142430}"
2023-01-01T00:00:00,2023-02-01T00:00:00,NE,200049,33375,"{""card"":27657,""bank"":172392}"
2023-01-01T00:00:00,2023-02-01T00:00:00,MA,762677,193450,"{""bank"":543333,""card"":219344}"
2023-01-01T00:00:00,2023-02-01T00:00:00,MT,143250,28026,"{""bank"":121793,""card"":21457}"
2023-01-01T00:00:00,2023-02-01T00:00:00,KS,239043,46682,"{""card"":42466,""bank"":196577}"
2023-01-01T00:00:00,2023-02-01T00:00:00,NC,7620125,603316,"{""card"":603383,""bank"":7016742}"
2023-01-01T00:00:00,2023-02-01T00:00:00,VT,149213,25128,"{""card"":24193,""bank"":125020}"
2023-01-01T00:00:00,2023-02-01T00:00:00,MD,5981185,466414,"{""bank"":5648846,""card"":332339}"
2023-01-01T00:00:00,2023-02-01T00:00:00,CO,1549753,186845,"{""bank"":1340243,""card"":209510}"
2023-01-01T00:00:00,2023-02-01T00:00:00,DE,1714678,143715,"{""bank"":1647958,""card"":66720}"
2023-01-01T00:00:00,2023-02-01T00:00:00,FL,13342360,1110338,"{""bank"":11858477,""card"":1483883}"
2023-01-01T00:00:00,2023-02-01T00:00:00,MO,1219121,159854,"{""card"":121534,""bank"":1097587}"
2023-01-01T00:00:00,2023-02-01T00:00:00,AK,120881,18543,"{""bank"":105696,""card"":15185}"
2023-01-01T00:00:00,2023-02-01T00:00:00,VI,419,199,"{""bank"":240,""card"":179}"
2023-01-01T00:00:00,2023-02-01T00:00:00,IL,8284916,741010,"{""bank"":7565809,""card"":719107}"
2023-01-01T00:00:00,2023-02-01T00:00:00,AR,766808,175964,"{""bank"":717811,""card"":48997}"
2023-01-01T00:00:00,2023-02-01T00:00:00,ME,1025425,79807,"{""bank"":922781,""card"":102644}"
2023-01-01T00:00:00,2023-02-01T00:00:00,OK,629120,80416,"{""bank"":595613,""card"":33507}"
2023-01-01T00:00:00,2023-02-01T00:00:00,GU,464,312,"{""bank"":398,""card"":66}"
2023-01-01T00:00:00,2023-02-01T00:00:00,ND,186545,17211,"{""card"":14498,""bank"":172047}"
2023-01-01T00:00:00,2023-02-01T00:00:00,WA,2884030,355034,"{""bank"":2523363,""card"":360667}"
2023-01-01T00:00:00,2023-02-01T00:00:00,MS,1171072,115477,"{""card"":94442,""bank"":1076630}"
2023-01-01T00:00:00,2023-02-01T00:00:00,AL,4335505,288300,"{""bank"":4192779,""card"":142726}"
2023-01-01T00:00:00,2023-02-01T00:00:00,UT,8214033,477849,"{""bank"":6974925,""card"":1239108}"
2023-01-01T00:00:00,2023-02-01T00:00:00,IN,10178946,764504,"{""bank"":9483523,""card"":695423}"
2023-01-01T00:00:00,2023-02-01T00:00:00,HI,483263,53449,"{""bank"":429375,""card"":53888}"
